customer_id,signup_date,last_purchase_date,total_orders,total_spent,region,churn_flag
54,2022-12-12,2023-02-01,3,3102.01,West,0
55,2022-02-22,2023-02-09,1,4607.42,North,0
56,2022-12-06,2023-05-28,2,644.03,South,0
57,2022-04-02,2023-08-06,3,2994.29,South,0
58,2022-09-21,2023-08-07,2,3670.48,East,0
59,2022-02-04,2023-03-23,3,446.79,South,1
60,2022-07-25,2023-11-29,3,210.82,South,1
61,2022-03-22,2023-07-27,2,2374.56,East,1
62,2022-02-19,2023-07-20,5,3976.81,West,0
63,2022-12-26,2023-11-28,1,887.53,East,0
64,2022-01-02,2023-02-07,3,4199.52,West,0
65,2022-02-23,2023-07-30,3,3317.23,South,0
66,2022-04-16,2023-11-23,3,1727.65,North,0
67,2022-09-17,2023-09-06,4,2627.55,West,0
68,2022-11-06,2023-08-15,4,4831.32,West,0
69,2022-07-10,2023-02-17,1,1160.54,West,0
70,2022-08-06,2023-01-18,4,2547.72,West,0
71,2022-02-13,2023-10-22,2,3159.98,South,0
72,2022-06-11,2023-07-15,1,776.27,North,0
73,2022-07-21,2023-07-06,3,313.26,West,1
74,2022-09-27,2023-12-11,4,165.95,North,0
75,2022-12-17,2023-08-12,0,1690.99,South,0
76,2022-10-31,2023-11-14,4,462.34,West,0
77,2022-09-28,2023-12-31,3,4038.47,North,1
78,2022-08-03,2023-12-03,4,4986.87,West,0
79,2022-09-09,2023-08-17,0,400.39,West,1
80,2022-07-09,2023-03-18,2,2220.36,South,0
81,2022-10-23,2023-07-07,6,226.09,West,0
82,2022-08-01,2023-12-12,4,756.56,North,1
83,2022-07-27,2023-09-27,4,1682.32,North,0
84,2022-08-25,2023-04-05,2,2029.12,South,0
85,2022-12-04,2023-11-06,1,4704.94,East,0
86,2022-02-22,2023-05-12,2,2039.6,East,0
87,2022-10-07,2023-02-08,3,2531.76,South,0
88,2022-08-05,2023-03-13,2,1303.36,South,0
89,2022-09-09,2023-10-08,4,100.61,East,0
90,2022-07-07,2023-11-29,3,4506.74,East,1
91,2022-02-10,2023-06-09,3,500.4,North,0
92,2022-06-06,2023-07-06,1,4824.82,North,0
93,2022-01-15,2023-07-10,3,741.14,North,0
94,2022-10-28,2023-04-30,4,3063.9,East,0
95,2022-03-06,2023-08-08,3,4997.11,South,0
96,2022-12-11,2023-02-22,2,778.48,West,0
97,2022-11-23,2023-08-10,2,2177.32,North,1
98,2022-01-09,2023-05-11,4,3924.08,West,0
99,2022-12-10,2023-08-25,1,257.73,South,0
100,2022-05-09,2023-09-03,4,3479.94,East,0
101,2022-05-16,2023-08-14,1,493.83,North,0
102,2022-03-04,2023-07-27,2,1258.95,East,1
103,2022-05-19,2023-04-06,1,884.37,South,0
104,2022-03-22,2023-07-19,1,4545.95,North,0
105,2022-06-12,2023-09-04,2,984.24,South,1
106,2022-10-16,2023-03-13,4,298.13,South,1
107,2022-09-18,2023-11-14,3,2979.37,North,0
108,2022-08-19,2023-07-04,4,1796.29,West,1
109,2022-02-10,2023-01-06,2,2087.96,North,0
110,2022-01-28,2023-07-25,3,683.41,East,0
111,2022-05-15,2023-02-01,5,3766.35,West,0
112,2022-07-20,2023-04-09,5,3047.61,North,0
113,2022-11-24,2023-09-13,3,1884.66,North,0
114,2022-09-25,2023-07-06,4,940.72,North,0
115,2022-02-02,2023-03-17,4,3007.91,North,0
116,2022-02-17,2023-06-26,3,3915.13,North,0
117,2022-03-03,2023-11-11,2,1630.75,East,0
118,2022-08-04,2023-10-14,3,226.72,South,1
119,2022-10-20,2023-12-15,3,1150.29,East,0
120,2022-04-09,2023-09-12,5,3443.75,South,0
121,2022-06-21,2023-11-21,3,4946.57,North,0
122,2022-12-26,2023-07-09,2,165.54,East,0
123,2022-08-02,2023-11-04,4,1600.15,South,0
124,2022-02-04,2023-12-11,4,403.9,South,1
125,2022-08-15,2023-05-07,1,1650.11,North,0
126,2022-04-11,2023-10-14,5,2088.98,North,1
127,2022-05-11,2023-09-11,2,4612.22,West,0
128,2022-09-14,2023-08-01,1,494.75,West,1
129,2022-01-05,2023-09-07,2,3907.96,South,0
130,2022-08-06,2023-03-25,5,2038.12,West,1
131,2022-09-12,2023-01-13,4,4075.19,East,0
132,2022-12-25,2023-02-14,5,2615.67,South,0
133,2022-10-10,2023-05-07,4,292.48,East,0
134,2022-07-26,2023-04-24,1,4736.41,West,0
135,2022-01-15,2023-10-03,2,505.4,East,0
136,2022-12-12,2023-07-24,1,3028.65,South,0
137,2022-02-11,2023-12-03,4,4400.57,East,1
138,2022-06-28,2023-09-30,2,490.87,South,0
139,2022-03-04,2023-02-27,2,2814.08,West,0
140,2022-12-18,2023-11-24,3,4139.02,South,0
141,2022-08-19,2023-08-07,4,4932.99,West,0
142,2022-08-29,2023-04-19,2,3649.2,North,0
143,2022-02-21,2023-10-06,3,1463.84,West,0
144,2022-04-06,2023-06-23,4,3527.89,South,0
145,2022-08-10,2023-11-24,2,3558.26,South,0
146,2022-08-19,2023-09-21,3,3529.83,North,0
147,2022-08-25,2023-11-11,2,4285.88,North,1
148,2022-05-23,2023-04-21,5,528.16,West,0
149,2022-06-20,2023-07-06,7,631.26,East,0
150,2022-01-29,2023-09-26,4,3239.02,East,0
151,2022-02-05,2023-08-17,2,4774.02,North,0
152,2022-01-13,2023-06-05,0,2382.61,West,0
153,2022-06-09,2023-07-08,3,4806.76,North,1
154,2022-11-23,2023-09-29,3,4696.62,North,1
155,2022-07-06,2023-01-02,2,4524.26,South,0
156,2022-08-31,2023-09-03,1,4558.27,South,0
157,2022-03-27,2023-07-29,7,4501.76,South,1
158,2022-10-11,2023-10-13,4,4117.46,North,0
159,2022-03-07,2023-12-25,7,3505.4,West,0
160,2022-06-19,2023-01-13,4,219.6,East,0
161,2022-02-14,2023-04-06,2,748.04,East,0
162,2022-03-03,2023-08-09,2,757.74,South,1
163,2022-05-14,2023-08-26,4,215.35,West,1
164,2022-10-11,2023-04-04,2,671.84,South,0
165,2022-01-28,2023-12-04,5,4606.76,West,1
166,2022-04-18,2023-09-26,4,3352.64,West,0
167,2022-02-13,2023-06-20,0,1629.16,West,1
168,2022-12-06,2023-04-04,0,3987.46,North,0
169,2022-10-13,2023-05-29,4,2493.01,West,0
170,2022-11-27,2023-04-22,2,796.42,North,0
171,2022-05-08,2023-02-24,2,4434.06,East,0
172,2022-12-14,2023-12-03,5,1759.44,East,0
173,2022-08-19,2023-04-26,3,3524.41,North,0
174,2022-07-09,2023-05-23,4,1523.91,East,1
175,2022-08-13,2023-07-20,0,2550.35,East,1
176,2022-10-10,2023-06-29,2,4099.64,South,0
177,2022-05-01,2023-07-21,3,868.21,North,1
178,2022-04-26,2023-12-30,3,4888.53,North,1
179,2022-08-21,2023-02-22,2,444.06,North,0
180,2022-09-16,2023-06-29,3,2716.64,South,0
181,2022-12-25,2023-11-09,2,4588.53,North,1
182,2022-07-17,2023-11-04,2,4733.9,East,0
183,2022-05-17,2023-05-17,4,1237.33,West,0
184,2022-11-14,2023-07-01,4,805.53,South,0
185,2022-06-14,2023-01-01,1,3649.57,South,0
186,2022-08-13,2023-02-13,4,305.67,North,1
187,2022-11-03,2023-08-15,1,2477.67,West,0
188,2022-08-22,2023-11-27,5,4002.14,West,1
189,2022-06-21,2023-04-08,1,2845.25,West,1
190,2022-06-01,2023-07-27,4,1021.27,East,0
191,2022-11-11,2023-09-22,3,2486.52,West,1
192,2022-06-09,2023-10-15,2,4614.25,North,0
193,2022-04-06,2023-09-28,2,3124.34,East,0
194,2022-08-21,2023-05-20,1,3635.3,West,1
195,2022-06-29,2023-08-25,2,1747.69,North,0
196,2022-04-23,2023-03-13,1,1023.57,East,1
197,2022-11-14,2023-06-04,3,1352.65,East,0
198,2022-02-21,2023-07-09,1,2712.57,West,1
199,2022-09-25,2023-09-25,1,1473.08,East,0
200,2022-10-22,2023-11-17,2,2755.63,South,0
201,2022-04-23,2023-04-17,5,3568.18,North,0
202,2022-04-11,2023-08-20,6,3698.54,West,0
203,2022-04-23,2023-02-11,2,906.96,North,0
204,2022-03-22,2023-07-09,3,3777.11,North,0
205,2022-07-06,2023-05-19,5,3396.17,South,0
206,2022-04-23,2023-04-13,5,158.83,East,0
207,2022-01-02,2023-06-20,0,388.47,South,0
208,2022-05-10,2023-12-17,3,3266.62,South,0
209,2022-08-08,2023-09-30,3,1980.15,East,1
210,2022-02-23,2023-08-09,1,815.91,West,1
211,2022-12-09,2023-08-01,1,317.54,North,0
212,2022-08-12,2023-12-07,0,881.05,West,0
213,2022-08-13,2023-02-25,3,4791.82,West,0
214,2022-05-06,2023-12-08,2,3665.07,South,0
215,2022-05-10,2023-04-12,1,2685.76,East,0
216,2022-02-22,2023-07-11,6,4713.55,East,0
217,2022-06-21,2023-11-06,0,3133.64,North,0
218,2022-08-06,2023-07-19,1,3655.66,East,0
219,2022-06-09,2023-08-21,3,1484.99,West,0
220,2022-07-17,2023-08-15,2,2986.01,East,0
221,2022-09-04,2023-05-19,2,803.04,East,1
222,2022-11-20,2023-12-10,6,2081.97,West,1
223,2022-07-22,2023-11-01,3,262.88,North,1
224,2022-07-03,2023-05-29,1,1161.48,North,0
225,2022-05-03,2023-04-25,3,466.86,West,0
226,2022-09-12,2023-03-04,4,2000.12,East,0
227,2022-10-21,2023-04-14,0,4230.87,East,0
228,2022-10-07,2023-12-05,2,1951.88,North,0
229,2022-11-21,2023-12-25,1,4175.03,North,1
230,2022-04-08,2023-06-05,3,3316.84,North,1
231,2022-07-17,2023-09-30,5,2596.69,South,1
232,2022-08-28,2023-01-06,4,1260.77,North,1
233,2022-05-24,2023-05-27,2,4618.56,East,0
234,2022-04-07,2023-07-03,3,365.58,North,1
235,2022-07-20,2023-01-28,3,3475.67,East,1
236,2022-05-04,2023-02-07,5,3144.08,East,0
237,2022-07-06,2023-04-29,1,2261.1,East,0
238,2022-11-22,2023-10-20,4,1277.57,North,0
239,2022-12-15,2023-09-01,0,2210.41,North,0
240,2022-09-16,2023-03-09,2,4376.59,West,0
241,2022-05-28,2023-08-02,2,4200.15,North,1
242,2022-09-09,2023-08-06,1,4712.77,North,0
243,2022-12-12,2023-06-26,4,1608.19,North,0
244,2022-05-27,2023-10-26,5,1996.81,South,0
245,2022-05-28,2023-06-13,2,191.76,North,0
246,2022-12-18,2023-02-27,4,4720.45,South,0
247,2022-07-18,2023-09-26,4,1714.01,East,1
248,2022-11-04,2023-11-04,2,2080.4,East,0
249,2022-05-08,2023-02-27,2,4548.24,East,1
250,2022-02-08,2023-10-15,3,2680.33,East,0
251,2022-12-04,2023-04-15,3,2874.26,South,0
252,2022-12-26,2023-08-16,3,963.54,South,1
253,2022-05-09,2023-09-04,4,2543.43,East,1
254,2022-09-24,2023-07-07,5,4599.22,North,0
255,2022-05-31,2023-03-24,4,2837.72,East,1
256,2022-10-25,2023-07-05,4,1350.07,East,0
257,2022-04-09,2023-09-09,2,252.79,South,0
258,2022-09-20,2023-12-21,2,1747.88,East,0
259,2022-09-09,2023-08-26,5,2905.7,South,0
260,2022-05-24,2023-12-26,2,308.81,West,0
261,2022-12-12,2023-07-03,1,3087.98,South,0
262,2022-04-22,2023-10-11,2,2664.73,East,0
263,2022-03-01,2023-07-29,4,3938.83,North,0
264,2022-01-02,2023-10-31,2,241.55,South,0
265,2022-10-31,2023-10-23,4,3926.15,South,1
266,2022-09-11,2023-04-07,1,2652.3,South,0
267,2022-05-20,2023-07-27,3,1915.59,East,0
268,2022-02-06,2023-05-17,5,4830.38,East,1
269,2022-06-09,2023-07-03,4,884.59,South,0
270,2022-01-09,2023-03-17,1,2752.49,North,0
271,2022-08-21,2023-10-14,2,1672.81,East,0
272,2022-04-09,2023-05-22,2,2684.68,North,0
273,2022-05-27,2023-08-25,7,2806.15,West,0
274,2022-10-31,2023-01-25,2,538.3,North,1
275,2022-07-27,2023-10-17,3,3339.56,East,0
276,2022-05-11,2023-03-08,3,3208.96,South,0
277,2022-06-01,2023-09-07,6,3870.39,West,0
278,2022-02-23,2023-04-28,2,544.23,North,0
279,2022-04-30,2023-03-14,2,1556.57,South,1
280,2022-06-10,2023-10-09,2,3285.54,West,1
281,2022-04-26,2023-12-26,1,769.98,North,0
282,2022-03-16,2023-01-10,3,3420.23,South,1
283,2022-04-23,2023-07-30,5,389.23,West,1
284,2022-04-14,2023-11-19,4,1741.16,East,0
285,2022-12-06,2023-06-01,4,4248.88,North,1
286,2022-09-11,2023-01-05,3,3894.03,North,1
287,2022-08-15,2023-07-14,2,3259.33,West,0
288,2022-04-22,2023-10-10,4,4365.25,North,0
289,2022-04-09,2023-04-23,3,3575.42,South,1
290,2022-06-02,2023-09-28,3,2644.94,North,0
291,2022-12-15,2023-06-12,1,4900.62,North,1
292,2022-12-04,2023-04-15,4,3504.79,South,0
293,2022-07-13,2023-06-30,3,3046.7,South,0
294,2022-11-06,2023-02-13,1,2103.47,East,0
295,2022-06-12,2023-10-09,1,4521.82,South,0
296,2022-07-27,2023-06-24,1,1548.97,North,0
297,2022-06-18,2023-06-11,2,145.18,West,1
298,2022-06-10,2023-12-17,3,1064.03,North,0
299,2022-03-09,2023-12-06,3,636.64,East,0
300,2022-10-16,2023-05-20,3,1663.07,West,0
301,2022-10-04,2023-05-12,1,4146.81,East,0
302,2022-10-31,2023-03-28,3,3292.5,North,1
303,2022-05-15,2023-06-25,2,928.0,South,1
304,2022-07-14,2023-07-02,1,3965.23,West,0
305,2022-05-08,2023-05-09,1,2570.68,North,0
306,2022-02-02,2023-09-03,1,2612.3,West,0
307,2022-06-25,2023-03-30,4,1874.35,East,0
308,2022-01-22,2023-03-07,3,4336.62,North,1
309,2022-08-26,2023-06-07,2,1659.8,West,0
310,2022-06-07,2023-05-29,2,561.28,North,0
311,2022-02-07,2023-12-06,3,1583.37,North,0
312,2022-08-18,2023-04-26,2,3605.23,East,1
313,2022-12-31,2023-08-02,4,3322.15,East,1
314,2022-02-20,2023-10-21,2,1021.28,East,1
315,2022-09-21,2023-09-10,3,647.74,South,1
316,2022-10-10,2023-05-23,5,3338.24,West,1
317,2022-01-27,2023-09-07,5,3414.25,East,1
318,2022-08-14,2023-10-29,2,1894.13,South,1
319,2022-10-04,2023-01-25,1,4229.73,South,1
320,2022-10-13,2023-10-04,1,4893.21,West,0
321,2022-04-07,2023-03-11,4,1107.66,West,0
322,2022-10-11,2023-04-23,1,2927.64,East,0
323,2022-11-13,2023-12-29,4,126.2,South,0
324,2022-10-31,2023-04-22,1,3593.97,West,1
325,2022-05-27,2023-12-30,5,2129.98,West,1
326,2022-01-04,2023-10-30,1,1047.02,West,0
327,2022-02-04,2023-04-01,1,3785.89,West,0
328,2022-07-11,2023-01-18,2,4072.18,South,1
329,2022-02-18,2023-05-29,4,644.72,North,0
330,2022-01-17,2023-08-15,0,300.88,West,0
331,2022-06-21,2023-08-02,4,1736.98,South,1
332,2022-08-08,2023-12-26,0,3167.35,West,0
333,2022-06-07,2023-05-31,1,3987.76,South,0
334,2022-02-15,2023-07-11,3,2775.71,East,0
335,2022-01-06,2023-02-09,1,2945.67,North,0
336,2022-04-09,2023-08-30,4,4019.31,South,0
337,2022-08-21,2023-05-18,3,2691.33,South,0
338,2022-02-06,2023-12-11,2,3094.66,South,0
339,2022-10-07,2023-06-29,4,2629.46,West,0
340,2022-12-15,2023-07-19,7,4414.25,East,1
341,2022-10-29,2023-07-22,4,1254.03,West,0
342,2022-06-30,2023-03-02,4,1393.57,East,0
343,2022-04-05,2023-07-11,3,727.01,North,0
344,2022-04-09,2023-01-05,3,4115.39,West,0
345,2022-07-07,2023-08-25,2,2117.71,South,0
346,2022-04-26,2023-06-30,2,1804.68,North,0
347,2022-07-10,2023-11-07,3,4908.61,West,1
348,2022-09-10,2023-02-06,3,4641.34,East,1
349,2022-06-10,2023-02-25,2,4862.74,West,0
350,2022-09-13,2023-08-25,3,797.27,West,0
351,2022-11-19,2023-12-24,3,4467.13,South,0
352,2022-05-08,2023-12-15,3,1710.68,South,0
353,2022-01-18,2023-07-16,4,162.02,North,1
354,2022-10-08,2023-03-14,3,2017.36,South,0
355,2022-08-11,2023-02-28,8,2595.06,West,1
356,2022-02-23,2023-08-28,3,630.28,West,1
357,2022-02-27,2023-01-02,2,2734.62,East,0
358,2022-11-19,2023-12-26,4,4115.37,West,0
359,2022-12-26,2023-07-07,0,1950.49,North,0
360,2022-06-23,2023-11-03,4,1827.96,North,0
361,2022-10-07,2023-01-30,2,1760.17,South,1
362,2022-04-24,2023-09-24,1,4623.16,East,0
363,2022-10-15,2023-04-18,2,338.91,West,0
364,2022-12-08,2023-11-28,1,2280.87,South,1
365,2022-05-31,2023-03-31,1,1396.54,West,0
366,2022-05-07,2023-07-24,4,4479.65,North,0
367,2022-06-04,2023-08-08,3,570.66,North,0
368,2022-09-30,2023-04-04,2,2116.07,East,0
369,2022-04-14,2023-04-13,3,2093.4,West,0
370,2022-10-26,2023-08-11,3,4453.13,West,0
371,2022-09-03,2023-07-05,3,1155.92,North,0
372,2022-06-25,2023-07-03,5,3259.99,East,0
373,2022-02-08,2023-06-11,4,758.59,South,0
374,2022-06-19,2023-09-04,1,4774.48,East,1
375,2022-09-04,2023-01-31,2,3005.77,South,0
376,2022-01-26,2023-02-21,3,3168.66,South,0
377,2022-12-21,2023-12-11,3,2225.49,North,1
378,2022-11-02,2023-03-17,5,1777.19,South,1
379,2022-01-13,2023-10-05,2,1142.11,West,1
380,2022-11-12,2023-02-09,3,3059.54,North,0
381,2022-11-09,2023-04-11,4,4777.35,East,0
382,2022-02-05,2023-04-21,2,1862.98,East,0
383,2022-06-22,2023-11-17,2,4427.47,South,1
384,2022-01-20,2023-09-06,1,829.0,West,0
385,2022-11-17,2023-07-10,3,4687.02,East,0
386,2022-09-21,2023-07-01,4,1817.38,South,0
387,2022-05-22,2023-12-01,6,1960.66,East,0
388,2022-05-23,2023-07-28,2,2367.93,West,0
389,2022-04-02,2023-01-22,5,3619.4,South,1
390,2022-12-20,2023-06-15,4,3626.3,West,1
391,2022-11-18,2023-04-09,7,2449.98,South,0
392,2022-10-15,2023-07-27,4,2663.45,West,1
393,2022-08-03,2023-01-08,3,247.05,East,0
394,2022-12-08,2023-07-09,2,1591.05,East,0
395,2022-02-20,2023-06-24,5,1795.48,West,0
396,2022-06-02,2023-09-30,6,2837.76,East,0
397,2022-07-05,2023-01-17,2,2835.67,East,0
398,2022-03-04,2023-03-31,2,3578.51,South,0
399,2022-07-09,2023-05-21,2,3613.43,West,1
400,2022-05-05,2023-05-25,1,1252.53,South,1
401,2022-05-30,2023-06-15,4,3873.92,East,0
402,2022-11-10,2023-12-03,5,196.06,East,0
403,2022-02-27,2023-03-19,5,3609.19,North,0
404,2022-12-08,2023-09-19,5,600.1,West,0
405,2022-11-01,2023-06-12,3,3675.28,West,0
406,2022-06-29,2023-01-14,5,2682.88,South,0
407,2022-06-19,2023-08-27,3,2242.55,West,0
408,2022-11-22,2023-03-13,0,3484.27,South,0
409,2022-09-28,2023-05-23,2,278.22,East,0
410,2022-02-23,2023-11-06,2,1195.0,North,1
411,2022-04-11,2023-10-10,3,3120.56,East,1
412,2022-09-21,2023-09-26,3,4251.36,South,0
413,2022-02-22,2023-08-29,4,1967.43,South,0
414,2022-03-01,2023-09-02,4,1367.93,North,1
415,2022-04-18,2023-06-12,3,2641.81,East,0
416,2022-01-05,2023-03-01,2,3149.34,West,0
417,2022-04-13,2023-01-06,2,2158.5,North,0
418,2022-07-15,2023-07-16,4,4395.88,West,0
419,2022-09-19,2023-02-27,3,2664.85,East,0
420,2022-12-31,2023-11-01,0,275.54,North,0
421,2022-12-16,2023-08-05,4,1192.96,East,0
422,2022-02-16,2023-01-26,3,2308.17,East,1
423,2022-12-21,2023-10-30,2,3518.86,West,0
424,2022-11-07,2023-01-05,1,1176.79,West,0
425,2022-11-04,2023-01-20,3,4883.66,West,0
426,2022-05-24,2023-07-17,3,1660.94,East,0
427,2022-09-26,2023-02-28,2,2709.15,South,0
428,2022-05-04,2023-08-30,1,192.94,East,0
429,2022-04-16,2023-05-26,3,4435.96,South,0
430,2022-06-07,2023-09-30,5,3965.29,North,0
431,2022-05-27,2023-09-06,4,1057.74,West,1
432,2022-05-25,2023-01-14,3,4672.86,West,1
433,2022-04-30,2023-01-13,4,1647.61,East,0
434,2022-11-15,2023-02-13,6,3491.71,South,0
435,2022-10-02,2023-01-19,4,4112.98,North,1
436,2022-04-02,2023-03-04,2,3730.48,East,0
437,2022-02-27,2023-08-27,2,4596.16,North,1
438,2022-12-12,2023-12-03,2,4334.95,South,0
439,2022-08-17,2023-04-10,2,4973.6,West,0
440,2022-04-27,2023-06-12,2,994.8,West,0
441,2022-11-14,2023-05-02,2,1593.33,South,1
442,2022-10-06,2023-02-13,2,3217.51,West,0
443,2022-05-07,2023-12-26,1,3691.93,East,1
444,2022-05-09,2023-11-13,2,2719.56,South,1
445,2022-02-27,2023-05-25,1,462.25,West,0
446,2022-05-02,2023-11-23,4,4223.82,South,0
447,2022-01-01,2023-12-29,1,4808.28,North,0
448,2022-08-27,2023-02-19,4,2087.03,East,0
449,2022-10-17,2023-03-06,2,1201.58,East,1
450,2022-04-06,2023-12-21,1,194.64,East,0
451,2022-05-06,2023-10-15,4,1262.77,West,0
452,2022-04-28,2023-06-13,4,3529.6,North,0
453,2022-02-17,2023-05-21,4,4566.79,West,1
454,2022-03-30,2023-11-10,2,558.21,West,0
455,2022-08-25,2023-05-08,2,2810.97,South,1
456,2022-09-29,2023-08-27,2,3508.1,East,1
457,2022-07-08,2023-11-20,2,1454.27,West,1
458,2022-07-11,2023-10-23,2,2892.5,East,0
459,2022-03-10,2023-07-06,5,3604.72,North,0
460,2022-10-05,2023-07-27,1,4204.82,North,0
461,2022-12-15,2023-08-08,1,2317.25,East,0
462,2022-09-04,2023-07-09,5,3764.5,East,1
463,2022-03-17,2023-12-12,3,1578.74,North,0
464,2022-06-03,2023-10-11,2,1143.93,North,0
465,2022-05-24,2023-12-18,4,1017.84,West,0
466,2022-03-27,2023-08-25,2,1858.48,North,0
467,2022-07-04,2023-07-13,3,275.81,West,0
468,2022-10-12,2023-10-14,3,1486.66,North,0
469,2022-08-08,2023-09-16,4,3295.89,West,0
470,2022-03-10,2023-09-03,4,3274.8,South,0
471,2022-02-16,2023-05-16,2,460.41,South,0
472,2022-04-04,2023-10-07,2,1508.34,West,0
473,2022-08-26,2023-09-28,1,2890.83,East,0
474,2022-07-23,2023-06-20,6,1660.91,South,1
475,2022-08-06,2023-06-08,4,2148.14,North,1
476,2022-12-07,2023-07-20,3,3592.77,East,0
477,2022-02-08,2023-02-14,2,145.41,North,0
478,2022-04-10,2023-09-21,2,1454.33,South,0
479,2022-10-16,2023-03-12,2,797.62,North,1
480,2022-09-11,2023-12-30,5,725.28,West,1
481,2022-08-10,2023-04-13,1,4799.3,East,0
482,2022-12-23,2023-05-05,3,1945.15,South,1
483,2022-01-23,2023-11-09,1,2682.73,East,0
484,2022-09-07,2023-10-13,1,3695.73,West,0
485,2022-01-10,2023-08-18,7,332.49,South,1
486,2022-09-03,2023-05-26,6,1281.01,North,0
487,2022-11-21,2023-07-16,1,4177.52,East,0
488,2022-04-10,2023-08-09,5,4323.75,South,1
489,2022-10-17,2023-03-01,3,1927.46,South,0
490,2022-06-29,2023-04-08,2,1936.82,West,1
491,2022-08-11,2023-06-20,3,3808.79,South,0
492,2022-09-07,2023-06-22,3,1545.84,South,0
493,2022-05-27,2023-05-31,4,673.76,West,0
494,2022-04-06,2023-12-16,6,1361.92,North,0
495,2022-09-14,2023-05-02,3,1997.99,North,1
496,2022-11-21,2023-04-18,3,355.8,South,1
497,2022-01-04,2023-01-04,5,2445.53,North,0
498,2022-01-16,2023-04-03,0,3726.04,West,0
499,2022-10-07,2023-01-06,5,2617.35,North,1
500,2022-12-02,2023-10-15,2,452.29,South,1
501,2022-09-04,2023-04-16,1,2256.73,West,1
502,2022-09-15,2023-05-26,4,3573.63,North,0
503,2022-06-09,2023-09-28,4,384.67,East,0
504,2022-12-06,2023-04-06,5,393.25,East,1
505,2022-06-01,2023-08-17,2,1915.95,West,1
506,2022-06-27,2023-07-21,2,1055.32,North,0
507,2022-06-12,2023-07-31,4,4680.43,South,0
508,2022-02-02,2023-01-06,4,2948.58,East,0
509,2022-06-28,2023-04-22,3,1507.89,North,1
510,2022-04-11,2023-11-19,1,3553.41,North,1
511,2022-09-25,2023-04-16,1,1937.15,South,1
512,2022-11-19,2023-05-19,1,747.37,South,0
513,2022-03-06,2023-10-26,1,1262.44,North,0
514,2022-06-17,2023-04-06,4,3249.46,South,1
515,2022-11-26,2023-12-03,3,354.19,West,0
516,2022-02-12,2023-10-24,4,1436.18,East,0
517,2022-02-13,2023-08-02,3,1120.73,East,0
518,2022-10-12,2023-10-18,3,1085.56,North,1
519,2022-01-12,2023-01-22,3,3445.54,North,0
